URL,Date,ビュー,ビューフォロワー,ビューフォロワー以外,ホーム,発見から,その他,リーチしたアカウント数,インタラクション,インタラクションフォロワー,インタラクションフォロワー以外,投稿でのインタラクション,「いいね！」,保存数,コメント,シェア数,アクションを実行したアカウント,プロフィールのアクティビティ,プロフィールへのアクセス,フォロー数,ハッシュタグ,外部リンクのタップ,プロフィール,リールでのインタラクション
https://www.instagram.com/p/C_Nn7A1SpaW/,2024-08-28 12:02:17,12000.0,92.6%,7.4%,9951,,265,7081,285,93.8%,6.2%,0,276,8,1,0,283,41,41,0,,,653,
https://www.instagram.com/p/C_KadIjydDs/,2024-08-27 06:06:53,11000.0,86.9%,13.1%,8571,,817,6845,255,85.6%,14.4%,0,245,9,1,0,258,18,17,0,,1,856,
https://www.instagram.com/p/C_ICQotRnDR/,2024-08-26 07:56:59,21000.0,88.4%,11.6%,17000,,914,12000,698,92.4%,7.6%,0,629,68,1,0,676,135,116,5,,14,781,
https://www.instagram.com/p/C_CqjmER_mE/,2024-08-24 05:53:40,18000.0,83.1%,16.9%,12000,,766,10000,460,86.6%,13.4%,0,409,50,1,0,440,48,39,5,,4,858,
https://www.instagram.com/p/C_AjrKGSAsr/,2024-08-23 10:15:03,12000.0,92.1%,7.9%,8302,,210,5857,169,95.3%,4.7%,0,163,6,0,0,169,24,23,0,,1,735,
https://www.instagram.com/p/C-98jHiyfFP/,2024-08-22 09:55:10,19000.0,90.1%,9.9%,11000,849,902,8022,289,91.6%,8.4%,0,266,22,0,0,276,69,62,4,,3,,
https://www.instagram.com/p/C-7ZHA2S8n9/,2024-08-21 10:06:31,6551,87.4%,12.6%,4377,,203,5200,153,89.8%,10.2%,0,146,6,0,0,154,14,12,0,,2,760,
https://www.instagram.com/p/C-5B9HtysaY/,2024-08-20 12:05:43,14000.0,87.2%,12.8%,9865,1015,929,7864,379,83.9%,16.1%,0,348,28,1,0,363,41,36,2,,3,,
https://www.instagram.com/p/C-1rzLdR80X/,2024-08-19 04:54:23,7537,87.2%,12.8%,5245,,289,6066,272,92.4%,7.6%,0,250,17,3,0,258,39,31,5,,3,758,
https://www.instagram.com/p/C-zXsY5Rg9C/,2024-08-18 07:20:13,8233,86.2%,13.8%,6717,597,238,5461,330,87.6%,12.4%,0,313,17,0,0,320,20,18,0,,2,681,
https://www.instagram.com/p/C-xKJCUSA08/,2024-08-17 10:43:20,12000.0,90.5%,9.5%,9018,,608,6588,305,88.5%,11.5%,0,289,15,0,0,294,19,16,0,,3,714,
https://www.instagram.com/p/C-up18zyPap/,2024-08-16 11:22:37,13000.0,88.4%,11.6%,11000,559,430,8121,350,93.3%,6.7%,0,328,22,0,0,350,80,68,0,,12,1080,
https://www.instagram.com/p/C-rQ-ThyDqF/,2024-08-15 03:47:35,101000.0,25.3%,74.7%,48000,42000,1620,78000,4277,35.1%,64.9%,0,3713,512,21,0,4251,1032,788,219,,25,,
https://www.instagram.com/reel/C-pgcW-SfQT/,2024-08-14 11:24:45,13000.0,,,,,,7584,257,87.1%,12.9%,,243,12,2,0,275,4,,4,,,,0
https://www.instagram.com/p/C-m2FU2SdLI/,2024-08-13 10:35:39,38000.0,34.3%,65.7%,12000,22000,1182,31000,1679,35.1%,64.9%,0,1495,182,1,0,1673,304,247,46,,11,,
https://www.instagram.com/p/C-kJyMfymrO/,2024-08-12 09:30:05,13000.0,73.4%,26.6%,7999,2817,966,8741,360,74.8%,25.2%,0,336,20,0,0,347,90,74,7,,9,,
https://www.instagram.com/p/C-h5t1ByQk0/,2024-08-11 12:31:11,9964,95%,5%,7244,,147,5280,122,99.2%,0.8%,0,120,2,0,0,122,9,9,0,,,587,
https://www.instagram.com/p/C-fdef8S7CV/,2024-08-10 13:45:57,14000.0,93.5%,6.5%,12000,,180,8538,293,98.3%,1.7%,0,251,38,0,0,288,87,81,2,,4,624,
https://www.instagram.com/p/C-aemPUyxzW/,2024-08-08 15:19:33,15000.0,69.7%,30.3%,9948,2053,984,10000,763,73.5%,26.5%,0,671,78,2,0,719,113,100,4,,9,,
https://www.instagram.com/p/C-Z4meRSABr/,2024-08-08 09:47:31,20000.0,68%,32%,15000,,835,13000,620,91.6%,8.4%,0,561,49,2,0,609,67,63,3,,1,811,
https://www.instagram.com/p/C-W-ioeR33c/,2024-08-07 06:41:42,15000.0,81.2%,18.8%,11000,2185,970,9778,479,76.4%,23.6%,0,434,42,2,0,469,78,69,4,,5,,
https://www.instagram.com/p/C-U0QlHvo5a/,2024-08-06 10:33:23,10000.0,86.6%,13.4%,7653,,459,6637,307,86.5%,13.5%,0,290,14,0,0,306,23,22,0,,1,1043,
https://www.instagram.com/p/C-SR_4ASVDJ/,2024-08-05 10:55:31,13000.0,66.3%,33.7%,7289,3153,1036,9251,523,56.7%,43.3%,0,456,52,3,0,499,73,58,12,,3,,
https://www.instagram.com/p/C-PfWqSRLD7/,2024-08-04 08:54:30,13000.0,85.5%,14.5%,9850,,733,8040,326,83.6%,16.4%,0,292,32,0,0,314,12,10,1,,1,1082,
https://www.instagram.com/p/C-NGQTuywaA/,2024-08-03 10:36:42,15000.0,87.1%,12.9%,11000,1192,993,8187,386,89.5%,10.5%,0,355,21,1,0,359,74,67,4,,3,,
https://www.instagram.com/p/C-KYGR6SRjT/,2024-08-02 09:14:54,11000.0,59.7%,40.3%,5711,,547,6558,245,81.4%,18.6%,0,227,14,0,0,236,21,21,0,,,1023,
https://www.instagram.com/p/C-H7smOvsyo/,2024-08-01 10:28:15,9197,87.4%,12.6%,5523,,325,4806,185,85.6%,14.4%,0,176,8,0,0,191,24,22,0,,2,898,
